TIME,roll,pitch,yaw
2023-02-15-12-27-10.291160648,-0.03131910786032677,-0.01307584997266531,-0.021785294637084007
2023-02-15-12-27-10.340792500,-0.03132756054401398,-0.013077928684651852,-0.021790828555822372
2023-02-15-12-27-10.341008171,-0.03131578862667084,-0.013082925230264664,-0.021793469786643982
2023-02-15-12-27-10.390416293,-0.03133027255535126,-0.013065224513411522,-0.02178799733519554
2023-02-15-12-27-10.390625466,-0.03135113790631294,-0.013062362559139729,-0.021797141060233116
2023-02-15-12-27-10.440106948,-0.03135759010910988,-0.013048098422586918,-0.021799344569444656
2023-02-15-12-27-10.440352940,-0.03135594725608826,-0.01304851658642292,-0.021796230226755142
2023-02-15-12-27-10.489713907,-0.031352411955595016,-0.013040359131991863,-0.021809538826346397
2023-02-15-12-27-10.489922085,-0.03134793043136597,-0.013045351952314377,-0.02180764265358448
2023-02-15-12-27-10.539094271,-0.03135978430509567,-0.013053863309323788,-0.02180873230099678
2023-02-15-12-27-10.539310406,-0.03135300055146217,-0.0130307013168931,-0.021805960685014725
2023-02-15-12-27-10.588810127,-0.0313684344291687,-0.013045684434473515,-0.02181778848171234
2023-02-15-12-27-10.589020403,-0.031358059495687485,-0.01304825209081173,-0.021808674558997154
2023-02-15-12-27-10.638397155,-0.031352631747722626,-0.013048945926129818,-0.02180892415344715
2023-02-15-12-27-10.638520680,-0.03136294707655907,-0.013066480867564678,-0.021822897717356682
2023-02-15-12-27-10.688011356,-0.031364280730485916,-0.01306721568107605,-0.02182108722627163
2023-02-15-12-27-10.688130098,-0.03136047348380089,-0.013071603141725063,-0.021815789863467216
2023-02-15-12-27-10.737635855,-0.03134525939822197,-0.01306803710758686,-0.021818123757839203
2023-02-15-12-27-10.737753569,-0.03134257718920708,-0.01310313493013382,-0.021814294159412384
2023-02-15-12-27-10.787106716,-0.03133818507194519,-0.013102421537041664,-0.021817825734615326
2023-02-15-12-27-10.787304245,-0.031333938241004944,-0.013114742003381252,-0.021820541471242905
2023-02-15-12-27-10.836800529,-0.031340282410383224,-0.013110755011439323,-0.02182154543697834
2023-02-15-12-27-10.836993215,-0.0313318595290184,-0.013110603205859661,-0.02181882970035076
2023-02-15-12-27-10.886434257,-0.031335730105638504,-0.01309602428227663,-0.021811842918395996
2023-02-15-12-27-10.886633368,-0.031340599060058594,-0.013096349313855171,-0.021815873682498932
2023-02-15-12-27-10.936023494,-0.031345121562480927,-0.01309760008007288,-0.0218143742531538
2023-02-15-12-27-10.936162819,-0.03135449066758156,-0.013093949295580387,-0.021820902824401855
2023-02-15-12-27-10.985663756,-0.03134046122431755,-0.013091500848531723,-0.021819736808538437
2023-02-15-12-27-10.985790859,-0.03132219985127449,-0.013102738186717033,-0.0218159519135952
2023-02-15-12-27-11.035061955,-0.03132578358054161,-0.013100812211632729,-0.02181527018547058
2023-02-15-12-27-11.035180491,-0.031304776668548584,-0.013096517883241177,-0.021821828559041023
2023-02-15-12-27-11.084743668,-0.031318504363298416,-0.01308122556656599,-0.02182917669415474
2023-02-15-12-27-11.084942822,-0.031310852617025375,-0.013090742751955986,-0.021838931366801262
2023-02-15-12-27-11.134405065,-0.031304050236940384,-0.0130886510014534,-0.021838806569576263
2023-02-15-12-27-11.134608431,-0.031307097524404526,-0.01309268269687891,-0.021849671378731728
2023-02-15-12-27-11.184017003,-0.03131196275353432,-0.01309011597186327,-0.021852701902389526
2023-02-15-12-27-11.184142492,-0.0313054583966732,-0.013092072680592537,-0.02184523642063141
2023-02-15-12-27-11.233709213,-0.03129502385854721,-0.01308233942836523,-0.02184489741921425
2023-02-15-12-27-11.233920841,-0.03128901869058609,-0.013086711056530476,-0.02185114100575447
2023-02-15-12-27-11.283128270,-0.03128465265035629,-0.013096616603434086,-0.02185836061835289
2023-02-15-12-27-11.283325602,-0.0312836691737175,-0.013094363734126091,-0.02185784839093685
2023-02-15-12-27-11.332776252,-0.03128773346543312,-0.013093673624098301,-0.0218745656311512
2023-02-15-12-27-11.332982562,-0.03127377852797508,-0.01308426819741726,-0.02187236212193966
2023-02-15-12-27-11.382327282,-0.03127118572592735,-0.013085082173347473,-0.021869124844670296
2023-02-15-12-27-11.382445586,-0.031275346875190735,-0.013072253204882145,-0.02188694104552269
2023-02-15-12-27-11.432078625,-0.03126148506999016,-0.013084006495773792,-0.02188568189740181
2023-02-15-12-27-11.432284180,-0.03127962350845337,-0.013071193359792233,-0.021883729845285416
2023-02-15-12-27-11.481659991,-0.03127308189868927,-0.013072578236460686,-0.021882103756070137
2023-02-15-12-27-11.481785224,-0.03128257021307945,-0.013077843002974987,-0.021886693313717842
2023-02-15-12-27-11.531135013,-0.03126559406518936,-0.013072707690298557,-0.021872304379940033
2023-02-15-12-27-11.531341154,-0.03126843273639679,-0.013074555434286594,-0.021868228912353516
2023-02-15-12-27-11.580752885,-0.031268589198589325,-0.013083983212709427,-0.021873602643609047
2023-02-15-12-27-11.580956569,-0.0312715508043766,-0.01306904386729002,-0.021879099309444427
2023-02-15-12-27-11.630378282,-0.03127529099583626,-0.013065670616924763,-0.02187585085630417
2023-02-15-12-27-11.630503870,-0.031257543712854385,-0.013069767504930496,-0.02187865413725376
2023-02-15-12-27-11.680086024,-0.03126641735434532,-0.013065253384411335,-0.021886706352233887
2023-02-15-12-27-11.680299245,-0.03127541020512581,-0.013055107556283474,-0.021888162940740585
2023-02-15-12-27-11.729705552,-0.03127535060048103,-0.01305578462779522,-0.021887077018618584
2023-02-15-12-27-11.729844285,-0.03126854449510574,-0.013033773750066757,-0.02188936434686184
2023-02-15-12-27-11.779091928,-0.031288906931877136,-0.0130420858040452,-0.0218820758163929
2023-02-15-12-27-11.828804220,-0.031286150217056274,-0.013034846633672714,-0.02188737504184246
2023-02-15-12-27-11.829006450,-0.03127977252006531,-0.013042685575783253,-0.021879753097891808
2023-02-15-12-27-11.878394453,-0.03127544745802879,-0.013035370036959648,-0.02188459411263466
2023-02-15-12-27-11.878599383,-0.03128254786133766,-0.013043677434325218,-0.021888067945837975
2023-02-15-12-27-11.928035642,-0.03128347173333168,-0.013043739832937717,-0.021888816729187965
2023-02-15-12-27-11.928168780,-0.031279291957616806,-0.013037522323429585,-0.02189484052360058
2023-02-15-12-27-11.928336330,-0.03128737211227417,-0.013045751489698887,-0.021898705512285233
