timestamp,roll,pitch,yaw,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags
2023-02-15-11-24-05.961077442,-0.029488634318113327,-0.016559021547436714,0.20780856907367706,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026130085811018944,-0.015503802336752415,0.5286147594451904,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-05.961123557,-0.02948467805981636,-0.016556838527321815,0.20780237019062042,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.02611980028450489,-0.015501407906413078,0.5286296606063843,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-05.993988352,-0.029473254457116127,-0.016559310257434845,0.20780164003372192,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026121728122234344,-0.015497005544602871,0.528631865978241,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-05.994024071,-0.029470453038811684,-0.016548899933695793,0.20779740810394287,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026105618104338646,-0.015492438338696957,0.5286327004432678,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-06.026985464,-0.029483612626791,-0.016534680500626564,0.20779113471508026,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026101751253008842,-0.015493936836719513,0.5286383032798767,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-06.027029215,-0.02948920801281929,-0.016541043296456337,0.2077890932559967,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026112189516425133,-0.015484585426747799,0.5286373496055603,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-06.059974039,-0.02948871999979019,-0.016554906964302063,0.20779526233673096,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026111574843525887,-0.015495018102228642,0.5286511182785034,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-06.060023203,-0.029485898092389107,-0.01654752716422081,0.20779898762702942,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026116468012332916,-0.01550111174583435,0.5286592841148376,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-06.092999345,-0.029482409358024597,-0.016543017700314522,0.207792267203331,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.02611924521625042,-0.015498463064432144,0.528666615486145,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-06.125988464,-0.029495665803551674,-0.01654687337577343,0.20779740810394287,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026114538311958313,-0.015491322614252567,0.5286788940429688,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
